type	study.phs_accession	participant.study_participant_id	sample.sample_id	file_name	file_type	file_description	file_size	md5sum	file_url_in_cds	experimental_strategy_and_data_subtypes	submission_version	file_id
file	phs0001	UAT-CASE-411987	ICBI-000007-01	Ctrl_2-set_1-label_114-frac_3-F18.wiff.scan	TAR	haec_olim_meminisse_iuvabit	470237612	88057311c4bb022cd6c2737e01f9fa8c	e_causa_ignota	Pathological	saltus_in_demonstrando	dg.4DFC/7afc4ac0-091e-5631-a417-9dbb89c57539
file	phs0001	UAT-CASE-411987	ICBI-000007-01	Ctrl_2-set_1-label_114-frac_3-F18.wiff	TAR	scientia_imperii_decus_et_tutamen	41320448	2806fa9b7e46d67fbf167ab3f560472d	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti	Pathological	saltus_in_demonstrando	dg.4DFC/928b1575-c9e8-5dc3-b230-627d8c594ebe
file	phs0001	UAT-CASE-411987	ICBI-000007-01	Ctrl_2-set_1-label_114-frac_2-F10.wiff.scan	TAR	scientiae_cedit_mare	501283476	57bc8020ccbc558b0bc593b865ef5ba0	haec_olim_meminisse_iuvabit	Pathological	Gallia_est_omnis_divisa_in_partes_tres	dg.4DFC/1f1fb6b1-453d-532d-932a-407a164ad0af
file	phs0001	UAT-CASE-411987	ICBI-000007-01	Ctrl_2-set_1-label_114-frac_2-F10.wiff	TAR	nanos_gigantum_humeris_insidentes	46931968	b325dc1afde58678cdc6a3f218465982	labor_ipse_voluptas	Pathological	saltus_in_demonstrando	dg.4DFC/b793c95c-b97a-5474-aea6-45f8972b984c
file	phs0001	UAT-CASE-115944	ICBI-000006-02	Ctrl_2-set_1-label_114-frac_1-F2.wiff.scan	TAR	id_quod_plerumque_accidit	513812840	0e4eb59e950ccafe51c38447b6e8a7e8	id_quod_plerumque_accidit	Pathological	Macte_animo_Generose_puer_sic_itur_ad_astra	dg.4DFC/e6b078d2-d08a-57d3-a96e-a241c5b4e68d
file	phs0001	UAT-CASE-115944	ICBI-000006-02	Ctrl_2-set_1-label_114-frac_1-F2.wiff	TAR	saltus_in_demonstrando	49623040	3b1ea485639ad8b9962116ab387d12a1	salus_in_arduis	Pathological	faber_est_suae_quisque_fortunae	dg.4DFC/a9a68809-2592-506c-ae46-4a092b2d0aed
file	phs0001	UAT-CASE-115944	ICBI-000006-02	Ctrl_1-set_1-label_113-frac_3-F17.wiff.scan	TAR	sapiens_qui_prospicit	436689960	2b000712857736c286b658b9662fbb60	barba_crescit_caput_nescit	Pathological	nanos_gigantum_humeris_insidentes	dg.4DFC/96eb7587-ad67-572c-ae6f-72ba3b6f9274
file	phs0001	UAT-CASE-115944	ICBI-000006-02	Ctrl_1-set_1-label_113-frac_3-F17.wiff	TAR	scientia_et_sapientia	41148416	9e612bbb08cb1bdcdb9b7bcff4bf8df7	scientia_et_sapientia	Pathological	a_bene_placito	dg.4DFC/beb4de96-96f3-5b1a-876d-a93e428fb044
file	phs0001	UAT-CASE-428896	ICBI-000006-01	Ctrl_1-set_1-label_113-frac_2-F9.wiff.scan	TAR	id_quod_plerumque_accidit	506881484	8205eb87dae8df6005e3bdd63aeb5e36	nanos_gigantum_humeris_insidentes	Pathological	faber_est_suae_quisque_fortunae	dg.4DFC/9437f5a3-dce7-56cc-9643-89af1d4ce68f
file	phs0001	UAT-CASE-428896	ICBI-000006-01	Ctrl_1-set_1-label_113-frac_2-F9.wiff	TAR	pace_tua	47001600	81e6a0bedd25b32643ce3caea4255449	nanos_gigantum_humeris_insidentes	Pathological	barba_crescit_caput_nescit	dg.4DFC/2f2e457d-c88f-5daf-9e41-3b646b29a4f2
file	phs0001	UAT-CASE-428896	ICBI-000006-01	Ctrl_1-set_1-label_113-frac_1-F1.wiff.scan	TAR	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti	489730000	8762e9769bf8f606b762e759ba069f8f	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti	Pathological	scientia,_aere_perennius	dg.4DFC/ecb13bff-49e1-5b63-b675-9cd107e504c4
file	phs0001	UAT-CASE-428896	ICBI-000006-01	Ctrl_1-set_1-label_113-frac_1-F1.wiff	TAR	saltus_in_demonstrando	48406528	70213acfa08a8ada4efc5012704a644e	haec_olim_meminisse_iuvabit	Pathological	salus_in_arduis	dg.4DFC/2c7544da-3481-522c-879f-b71799986aff
